中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,5 ms,7 Mbps,973 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,24 ms,658 Mbps,84275 kB/s
35.230.79.26,443,35.212.201.167,US,Seattle,隧道,70 ms,312 Mbps,39936 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,57 ms,349 Mbps,44748 kB/s
35.197.23.75,443,35.212.201.167,US,Seattle,隧道,71 ms,331 Mbps,42393 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,67 ms,427 Mbps,54681 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,61 ms,316 Mbps,40448 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,70 ms,303 Mbps,38809 kB/s
192.9.236.144,443,192.9.236.144,US,San Jose,中转,71 ms,315 Mbps,40345 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,96 ms,248 Mbps,31846 kB/s
34.82.76.253,443,34.83.12.158,US,Seattle,隧道,69 ms,258 Mbps,33075 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,93 ms,243 Mbps,31129 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,98 ms,275 Mbps,35225 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,96 ms,49 Mbps,6309 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,92 ms,47 Mbps,6021 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,173 ms,115 Mbps,14745 kB/s
141.147.165.223,443,140.238.41.131,JP,Tokyo,隧道,164 ms,94 Mbps,12083 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,175 ms,38 Mbps,4926 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,176 ms,33 Mbps,4278 kB/s
150.230.7.216,443,150.230.7.216,JP,Osaka,中转,174 ms,40 Mbps,5181 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,208 ms,31 Mbps,4075 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,245 ms,25 Mbps,3225 kB/s
