中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.216.55.100,443,18.216.55.100,US,Columbus,中转,19 ms,764 Mbps,97792 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,50 ms,399 Mbps,51097 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,30 ms,7 Mbps,947 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,30 ms,57 Mbps,7420 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,49 ms,520 Mbps,66662 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,50 ms,418 Mbps,53555 kB/s
34.82.76.253,443,35.185.231.63,US,Seattle,隧道,57 ms,404 Mbps,51814 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,40 ms,539 Mbps,69017 kB/s
35.197.23.75,443,35.212.167.189,US,Seattle,隧道,53 ms,486 Mbps,62259 kB/s
129.146.46.164,443,129.146.46.164,308 Mbps,39526 kB/s
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,53 ms,360 Mbps,46080 kB/s
35.230.79.26,443,35.212.167.189,US,Seattle,隧道,47 ms,484 Mbps,61952 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,140 ms,143 Mbps,18329 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,113 ms,179 Mbps,22937 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,106 ms,44 Mbps,5652 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,122 ms,157 Mbps,20172 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,115 ms,200 Mbps,25600 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,120 ms,51 Mbps,6579 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,141 ms,39 Mbps,5110 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,141 ms,36 Mbps,4651 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,166 ms,44 Mbps,5693 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,124 ms,48 Mbps,6186 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,193 ms,42 Mbps,5451 kB/s
8.219.1.169,443,8.219.1.169,SG,Singapore,中转,212 ms,11 Mbps,1466 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,206 ms,40 Mbps,5123 kB/s
158.180.73.138,443,2602:ffe4:407:20da:0:2350:138c:ead,SG,Singapore,隧道,229 ms,42 Mbps,5441 kB/s
64.110.75.145,443,64.110.75.145,KR,Seoul,中转,167 ms,62 Mbps,7997 kB/s
