中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
192.9.139.160,443,192.9.139.160,US,San Jose,中转,1 ms,920 Mbps,117760 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,7 ms,2040 Mbps,261120 kB/s
129.146.46.164,443,129.146.46.164,,colo.txt:Los Angeles,中转,0 ms,368 Mbps,47206 kB/s
35.230.79.26,443,35.212.232.22,US,Seattle,隧道,26 ms,872 Mbps,111616 kB/s
34.82.76.253,443,34.83.144.186,US,Seattle,隧道,21 ms,1024 Mbps,131072 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,58 ms,412 Mbps,52736 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,21 ms,656 Mbps,83968 kB/s
35.197.23.75,443,35.212.232.22,US,Seattle,隧道,22 ms,920 Mbps,117760 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,158 ms,150 Mbps,19251 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,82 ms,2 Mbps,258 kB/s
3.112.21.102,443,3.112.21.102,JP,Hong Kong,中转,105 ms,245 Mbps,31436 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,158 ms,43 Mbps,5536 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,159 ms,44 Mbps,5704 kB/s
143.47.185.70,443,2606:f240:f00:5a42:0:3ae7:5420:2950,DE,Frankfurt,隧道,166 ms,102 Mbps,13107 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,134 ms,45 Mbps,5865 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,157 ms,40 Mbps,5141 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,175 ms,44 Mbps,5759 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,169 ms,119 Mbps,15257 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,162 ms,42 Mbps,5424 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,173 ms,44 Mbps,5661 kB/s
168.138.46.67,443,168.138.46.67,JP,Singapore,中转,125 ms,45 Mbps,5847 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,156 ms,115 Mbps,14745 kB/s
47.57.13.107,443,8.212.23.141,HK,Hong Kong,隧道,174 ms,7 Mbps,1023 kB/s
64.110.104.30,443,64.110.104.30,JP,Singapore,中转,117 ms,40 Mbps,5203 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,175 ms,37 Mbps,4837 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,28 ms,294 Mbps,37683 kB/s
