中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,2 ms,7 Mbps,956 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,23 ms,780 Mbps,99840 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,57 ms,348 Mbps,44544 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,64 ms,291 Mbps,37273 kB/s
35.230.79.26,443,35.212.236.25,US,Seattle,隧道,70 ms,384 Mbps,49152 kB/s
35.197.23.75,443,35.212.236.25,US,Seattle,隧道,72 ms,354 Mbps,45363 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,76 ms,285 Mbps,36556 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,79 ms,412 Mbps,52736 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,94 ms,245 Mbps,31436 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,73 ms,286 Mbps,36659 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,91 ms,49 Mbps,6336 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,70 ms,394 Mbps,50483 kB/s
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,62 ms,384 Mbps,49254 kB/s
152.70.56.11,443,163.123.193.3,DE,Munich,隧道,96 ms,215 Mbps,27545 kB/s
34.82.76.253,443,34.169.66.96,US,Seattle,隧道,73 ms,284 Mbps,36352 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,92 ms,278 Mbps,35635 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,87 ms,296 Mbps,37990 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,90 ms,47 Mbps,6030 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,95 ms,232 Mbps,29798 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,97 ms,44 Mbps,5636 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,172 ms,34 Mbps,4435 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,171 ms,136 Mbps,17408 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,169 ms,44 Mbps,5659 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,203 ms,39 Mbps,5081 kB/s
