中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,23 ms,7 Mbps,967 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,50 ms,481 Mbps,61644 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,42 ms,505 Mbps,64716 kB/s
35.197.23.75,443,35.212.201.167,US,Seattle,隧道,48 ms,505 Mbps,64716 kB/s
192.9.236.144,443,192.9.236.144,US,San Jose,中转,39 ms,411 Mbps,52633 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,27 ms,686 Mbps,87859 kB/s
34.82.76.253,443,35.227.144.152,US,Seattle,隧道,57 ms,376 Mbps,48128 kB/s
129.146.46.164,443,129.146.46.164,336 Mbps,43008 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,42 ms,505 Mbps,64716 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,122 ms,190 Mbps,24371 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,120 ms,185 Mbps,23756 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,147 ms,16 Mbps,2049 kB/s
152.70.62.177,443,2606:f240:f00:dd8d:0:5e7f:463d:6d85,DE,Frankfurt,隧道,120 ms,188 Mbps,24064 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,117 ms,188 Mbps,24166 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,136 ms,168 Mbps,21504 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,121 ms,49 Mbps,6340 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,144 ms,43 Mbps,5525 kB/s
168.138.212.80,443,168.138.212.80,JP,Tokyo,中转,133 ms,43 Mbps,5584 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,175 ms,9 Mbps,1247 kB/s
8.219.151.64,443,47.84.41.244,SG,Singapore,隧道,213 ms,70 Mbps,9086 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,129 ms,41 Mbps,5296 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,197 ms,21 Mbps,2766 kB/s
