中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,18 ms,7 Mbps,926 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,9 ms,808 Mbps,103424 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,62 ms,430 Mbps,55091 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,51 ms,524 Mbps,67072 kB/s
129.146.46.164,443,129.146.46.164,,colo.txt:Los Angeles,中转,0 ms,322 Mbps,41267 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,48 ms,538 Mbps,68915 kB/s
35.230.79.26,443,35.212.212.2,US,Seattle,隧道,56 ms,468 Mbps,60006 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,53 ms,425 Mbps,54476 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,53 ms,224 Mbps,28774 kB/s
34.82.76.253,443,34.105.33.19,US,Seattle,隧道,53 ms,416 Mbps,53248 kB/s
35.197.23.75,443,35.212.212.2,US,Seattle,隧道,113 ms,472 Mbps,60416 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,104 ms,48 Mbps,6266 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,106 ms,192 Mbps,24678 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,109 ms,236 Mbps,30310 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,116 ms,45 Mbps,5806 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,153 ms,160 Mbps,20582 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,123 ms,187 Mbps,23961 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,112 ms,45 Mbps,5804 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,161 ms,43 Mbps,5543 kB/s
168.138.212.80,443,168.138.212.80,JP,Tokyo,中转,154 ms,42 Mbps,5408 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,169 ms,40 Mbps,5227 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,162 ms,41 Mbps,5354 kB/s
47.57.13.107,443,8.212.22.216,HK,Hong Kong,隧道,196 ms,10 Mbps,1368 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,234 ms,38 Mbps,4924 kB/s
158.180.73.138,443,2602:ffe4:407:20da:0:2350:138c:ead,SG,Singapore,隧道,237 ms,40 Mbps,5160 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,177 ms,34 Mbps,4394 kB/s
