中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
34.82.76.253,443,35.230.34.223,US,Seattle,隧道,21 ms,984 Mbps,125952 kB/s
129.146.46.164,443,129.146.46.164,US,354 Mbps,45363 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,15 ms,2520 Mbps,322560 kB/s
192.9.236.144,443,192.9.236.144,US,San Jose,中转,1 ms,412 Mbps,52838 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,1 ms,912 Mbps,116736 kB/s
35.197.23.75,443,35.212.174.187,US,Seattle,隧道,23 ms,928 Mbps,118784 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,38 ms,704 Mbps,90112 kB/s
35.230.79.26,443,35.212.174.187,US,Seattle,隧道,22 ms,896 Mbps,114688 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,70 ms,351 Mbps,44953 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,71 ms,6 Mbps,886 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,124 ms,232 Mbps,29798 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,142 ms,46 Mbps,5901 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,148 ms,46 Mbps,6005 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,120 ms,39 Mbps,5008 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,115 ms,42 Mbps,5485 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,153 ms,118 Mbps,15155 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,158 ms,152 Mbps,19558 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,164 ms,44 Mbps,5679 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,162 ms,135 Mbps,17305 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,189 ms,41 Mbps,5276 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,152 ms,43 Mbps,5594 kB/s
