中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.216.55.100,443,18.216.55.100,US,Columbus,中转,10 ms,678 Mbps,86835 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,15 ms,5 Mbps,649 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,56 ms,417 Mbps,53452 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,45 ms,440 Mbps,56320 kB/s
35.230.79.26,443,35.212.217.120,US,Seattle,隧道,49 ms,440 Mbps,56320 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,65 ms,430 Mbps,55091 kB/s
35.197.23.75,443,35.212.217.120,US,Seattle,隧道,48 ms,560 Mbps,71782 kB/s
34.82.76.253,443,34.169.66.96,US,Seattle,隧道,55 ms,443 Mbps,56729 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,55 ms,388 Mbps,49664 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,98 ms,49 Mbps,6282 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,120 ms,217 Mbps,27852 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,111 ms,204 Mbps,26214 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,112 ms,256 Mbps,32768 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,156 ms,149 Mbps,19148 kB/s
168.138.212.80,443,168.138.212.80,JP,Tokyo,中转,144 ms,41 Mbps,5274 kB/s
150.230.7.216,443,150.230.7.216,JP,Osaka,中转,159 ms,44 Mbps,5695 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,159 ms,40 Mbps,5128 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,107 ms,43 Mbps,5591 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,149 ms,42 Mbps,5432 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,211 ms,40 Mbps,5218 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,204 ms,36 Mbps,4716 kB/s
8.219.1.169,443,8.219.1.169,SG,Singapore,中转,215 ms,30 Mbps,3864 kB/s
