中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.216.55.100,443,18.216.55.100,US,Columbus,中转,24 ms,628 Mbps,80384 kB/s
129.159.84.71,443,129.159.84.71,US,Miami,中转,6 ms,6 Mbps,874 kB/s
184.169.181.217,443,184.169.181.217,US,Los Angeles,中转,59 ms,280 Mbps,35942 kB/s
35.230.79.26,443,35.212.184.110,US,Seattle,隧道,69 ms,346 Mbps,44339 kB/s
34.82.76.253,443,34.105.33.19,US,Seattle,隧道,68 ms,367 Mbps,47001 kB/s
23.94.43.51,443,23.94.43.51,US,Portland,中转,72 ms,260 Mbps,33382 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,61 ms,270 Mbps,34611 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,98 ms,223 Mbps,28569 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,94 ms,206 Mbps,26419 kB/s
35.197.23.75,443,35.212.184.110,US,Seattle,隧道,68 ms,320 Mbps,40960 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,92 ms,260 Mbps,33382 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,90 ms,47 Mbps,6050 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,96 ms,49 Mbps,6376 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,168 ms,156 Mbps,20070 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,168 ms,46 Mbps,5967 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,171 ms,41 Mbps,5272 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,202 ms,40 Mbps,5157 kB/s
47.57.13.107,443,8.212.11.54,HK,Hong Kong,隧道,199 ms,12 Mbps,1556 kB/s
8.219.170.223,443,47.245.127.33,SG,Singapore,隧道,225 ms,17 Mbps,2261 kB/s
8.219.1.169,443,8.219.1.169,SG,Singapore,中转,229 ms,8 Mbps,1102 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,235 ms,33 Mbps,4264 kB/s
