中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,26 ms,7 Mbps,962 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,29 ms,627 Mbps,80281 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,38 ms,539 Mbps,69017 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,49 ms,413 Mbps,52940 kB/s
129.146.46.164,443,129.146.46.164,340 Mbps,43520 kB/s
192.9.236.144,443,192.9.236.144,US,San Jose,中转,46 ms,431 Mbps,55193 kB/s
34.82.76.253,443,34.168.69.6,US,Seattle,隧道,56 ms,444 Mbps,56832 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,51 ms,516 Mbps,66150 kB/s
35.197.23.75,443,35.212.241.9,US,Seattle,隧道,57 ms,500 Mbps,64000 kB/s
35.230.79.26,443,35.212.241.9,US,Seattle,隧道,49 ms,550 Mbps,70451 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,113 ms,44 Mbps,5682 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,140 ms,162 Mbps,20787 kB/s
150.230.63.93,443,150.230.63.93,JP,Osaka,中转,139 ms,46 Mbps,5927 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,116 ms,48 Mbps,6197 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,147 ms,41 Mbps,5259 kB/s
64.110.101.125,443,64.110.101.125,JP,Osaka,中转,146 ms,166 Mbps,21299 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,151 ms,44 Mbps,5726 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,172 ms,42 Mbps,5431 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,127 ms,41 Mbps,5282 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,204 ms,20 Mbps,2578 kB/s
