中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.216.55.100,443,18.216.55.100,US,Columbus,中转,21 ms,840 Mbps,107520 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,59 ms,460 Mbps,58982 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,68 ms,113 Mbps,14540 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,63 ms,340 Mbps,43520 kB/s
35.230.79.26,443,35.212.232.22,US,Seattle,隧道,70 ms,327 Mbps,41881 kB/s
35.197.23.75,443,35.212.232.22,US,Seattle,隧道,71 ms,340 Mbps,43622 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,70 ms,78 Mbps,10035 kB/s
34.82.76.253,443,34.83.144.186,US,Seattle,隧道,71 ms,297 Mbps,38092 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,106 ms,196 Mbps,25190 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,96 ms,216 Mbps,27750 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,71 ms,468 Mbps,60006 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,107 ms,240 Mbps,30822 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,95 ms,44 Mbps,5702 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,104 ms,44 Mbps,5648 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,78 ms,208 Mbps,26624 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,160 ms,111 Mbps,14233 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,99 ms,42 Mbps,5496 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,168 ms,41 Mbps,5301 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,168 ms,45 Mbps,5834 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,204 ms,40 Mbps,5169 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,200 ms,38 Mbps,4889 kB/s
168.138.185.234,443,168.138.185.234,SG,Singapore,中转,233 ms,56 Mbps,7282 kB/s
47.57.13.107,443,8.212.22.44,HK,Hong Kong,隧道,221 ms,9 Mbps,1243 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,237 ms,36 Mbps,4703 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,225 ms,32 Mbps,4210 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,101 ms,0 Mbps,57 kB/s
146.56.146.67,443,128.14.110.206,SG,Singapore,隧道,270 ms,28 Mbps,3654 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,1127 ms,286 Mbps,36659 kB/s
