中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
34.82.76.253,443,34.83.144.186,US,Seattle,隧道,35 ms,800 Mbps,102400 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,12 ms,2848 Mbps,364544 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,18 ms,1520 Mbps,194560 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,32 ms,469 Mbps,60108 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,1 ms,904 Mbps,115712 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,10 ms,1520 Mbps,194560 kB/s
35.197.23.75,443,35.212.232.22,US,Seattle,隧道,35 ms,1096 Mbps,140288 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,75 ms,220 Mbps,28160 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,19 ms,609 Mbps,78028 kB/s
35.230.79.26,443,35.212.232.22,US,Seattle,隧道,24 ms,1080 Mbps,138240 kB/s
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,20 ms,442 Mbps,56627 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,42 ms,256 Mbps,32870 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,68 ms,43 Mbps,5589 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,125 ms,41 Mbps,5312 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,116 ms,39 Mbps,5096 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,145 ms,34 Mbps,4439 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,143 ms,19 Mbps,2494 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,152 ms,38 Mbps,4943 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,175 ms,45 Mbps,5857 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,160 ms,9 Mbps,1241 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,159 ms,157 Mbps,20172 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,161 ms,123 Mbps,15769 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,183 ms,120 Mbps,15360 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,156 ms,43 Mbps,5627 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,175 ms,47 Mbps,6038 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,164 ms,138 Mbps,17715 kB/s
64.110.75.145,443,64.110.75.145,KR,Seoul,中转,158 ms,153 Mbps,19660 kB/s
129.154.197.32,443,2602:ffe4:407:20d9:0:f0e:3122:3109,SG,Singapore,隧道,230 ms,70 Mbps,9018 kB/s
47.57.13.107,443,8.212.22.44,HK,Hong Kong,隧道,217 ms,13 Mbps,1685 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,183 ms,46 Mbps,5908 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,163 ms,32 Mbps,4167 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,183 ms,0 Mbps,28 kB/s
