中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,2 ms,7 Mbps,1010 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,19 ms,750 Mbps,96051 kB/s
35.230.79.26,443,35.212.237.223,US,Seattle,隧道,69 ms,351 Mbps,44953 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,61 ms,339 Mbps,43417 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,92 ms,232 Mbps,29696 kB/s
34.82.76.253,443,34.168.69.6,US,Seattle,隧道,68 ms,342 Mbps,43827 kB/s
35.197.23.75,443,35.212.237.223,US,Seattle,隧道,70 ms,352 Mbps,45158 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,64 ms,362 Mbps,46387 kB/s
192.9.236.144,443,192.9.236.144,US,San Jose,中转,61 ms,300 Mbps,38502 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,94 ms,240 Mbps,30720 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,91 ms,298 Mbps,38195 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,86 ms,50 Mbps,6495 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,98 ms,46 Mbps,5967 kB/s
64.110.101.125,443,64.110.101.125,JP,Osaka,中转,168 ms,136 Mbps,17408 kB/s
150.230.7.216,443,150.230.7.216,JP,Osaka,中转,173 ms,40 Mbps,5189 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,167 ms,39 Mbps,5052 kB/s
168.138.212.80,443,168.138.212.80,JP,Tokyo,中转,171 ms,38 Mbps,4932 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,169 ms,110 Mbps,14131 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,173 ms,18 Mbps,2382 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,201 ms,32 Mbps,4202 kB/s
8.219.151.64,443,47.84.41.244,SG,Singapore,隧道,233 ms,48 Mbps,6176 kB/s
168.138.165.174,443,168.138.165.174,SG,Tokyo,中转,219 ms,30 Mbps,3921 kB/s
