中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.216.55.100,443,18.216.55.100,US,Columbus,中转,10 ms,791 Mbps,101273 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,16 ms,55 Mbps,7048 kB/s
35.230.79.26,443,35.212.186.181,US,Seattle,隧道,52 ms,435 Mbps,55705 kB/s
34.82.76.253,443,34.105.52.138,US,Seattle,隧道,48 ms,404 Mbps,51814 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,22 ms,6 Mbps,782 kB/s
35.197.23.75,443,35.212.186.181,US,Seattle,隧道,48 ms,523 Mbps,66969 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,48 ms,394 Mbps,50483 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,63 ms,473 Mbps,60620 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,62 ms,259 Mbps,33177 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,52 ms,411 Mbps,52633 kB/s
141.148.224.123,443,141.148.224.123,NL,Amsterdam,中转,96 ms,196 Mbps,25088 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,109 ms,45 Mbps,5873 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,113 ms,184 Mbps,23654 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,99 ms,44 Mbps,5730 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,117 ms,212 Mbps,27136 kB/s
143.47.178.5,443,143.47.178.5,NL,Amsterdam,中转,102 ms,184 Mbps,23654 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,111 ms,180 Mbps,23142 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,151 ms,120 Mbps,15462 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,108 ms,52 Mbps,6657 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,154 ms,45 Mbps,5882 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,160 ms,45 Mbps,5833 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,184 ms,302 Mbps,38707 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,199 ms,40 Mbps,5138 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,194 ms,37 Mbps,4806 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,208 ms,37 Mbps,4751 kB/s
47.57.13.107,443,8.212.11.54,HK,Hong Kong,隧道,209 ms,8 Mbps,1049 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,211 ms,4 Mbps,569 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,199 ms,37 Mbps,4744 kB/s
158.180.73.138,443,2602:ffe4:407:20da:0:2350:138c:ead,SG,Frankfurt,隧道,223 ms,32 Mbps,4216 kB/s
