中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.216.55.100,443,18.216.55.100,US,Columbus,中转,10 ms,476 Mbps,60928 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,52 ms,322 Mbps,41267 kB/s
129.213.202.222,443,129.213.202.222,US,Ashburn,中转,16 ms,1136 Mbps,145408 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,16 ms,54 Mbps,6984 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,52 ms,376 Mbps,48128 kB/s
34.82.76.253,443,34.169.31.209,US,Seattle,隧道,50 ms,498 Mbps,63795 kB/s
129.213.130.70,443,129.213.130.70,US,Ashburn,中转,17 ms,38 Mbps,4887 kB/s
35.230.79.26,443,35.212.212.40,US,Seattle,隧道,50 ms,472 Mbps,60416 kB/s
35.197.23.75,443,35.212.212.40,US,Seattle,隧道,50 ms,485 Mbps,62156 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,55 ms,405 Mbps,51916 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,55 ms,400 Mbps,51302 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,59 ms,1 Mbps,244 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,104 ms,42 Mbps,5472 kB/s
141.144.253.109,443,141.144.253.109,DE,Frankfurt,中转,111 ms,43 Mbps,5516 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,114 ms,43 Mbps,5552 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,113 ms,202 Mbps,25907 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,119 ms,204 Mbps,26214 kB/s
150.230.63.93,443,150.230.63.93,JP,Osaka,中转,149 ms,42 Mbps,5451 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,143 ms,157 Mbps,20172 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,166 ms,41 Mbps,5355 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,164 ms,2 Mbps,368 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,111 ms,44 Mbps,5725 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,193 ms,36 Mbps,4627 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,218 ms,33 Mbps,4229 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,232 ms,25 Mbps,3320 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,182 ms,1 Mbps,167 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,141 ms,0 Mbps,42 kB/s
146.56.41.171,443,2602:ffe4:407:21d9:0:2840:9ac1:c68d,SG,Paris,隧道,259 ms,32 Mbps,4166 kB/s
168.138.185.234,443,168.138.185.234,SG,Frankfurt,中转,239 ms,57 Mbps,7387 kB/s
