中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.230.79.26,443,35.212.183.25,US,Seattle,隧道,25 ms,944 Mbps,120832 kB/s
34.82.76.253,443,34.169.66.96,US,Seattle,隧道,22 ms,928 Mbps,118784 kB/s
35.197.23.75,443,35.212.183.25,US,Seattle,隧道,33 ms,928 Mbps,118784 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,44 ms,338 Mbps,43315 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,1 ms,1272 Mbps,162816 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,1 ms,775 Mbps,99225 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,20 ms,640 Mbps,82022 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,82 ms,337 Mbps,43212 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,66 ms,7 Mbps,963 kB/s
193.122.124.215,443,132.226.239.169,KR,Seoul,隧道,138 ms,154 Mbps,19763 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,118 ms,46 Mbps,5961 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,118 ms,251 Mbps,32153 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,134 ms,45 Mbps,5862 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,116 ms,46 Mbps,5916 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,155 ms,137 Mbps,17612 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,152 ms,46 Mbps,5929 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,149 ms,131 Mbps,16793 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,173 ms,39 Mbps,5091 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,156 ms,108 Mbps,13926 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,136 ms,0 Mbps,89 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,195 ms,40 Mbps,5200 kB/s
