中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,13 ms,8 Mbps,1062 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,16 ms,840 Mbps,107520 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,65 ms,304 Mbps,39014 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,53 ms,366 Mbps,46899 kB/s
35.230.79.26,443,35.212.174.187,US,Seattle,隧道,68 ms,359 Mbps,45977 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,59 ms,424 Mbps,54272 kB/s
35.197.23.75,443,35.212.174.187,US,Seattle,隧道,67 ms,343 Mbps,43929 kB/s
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,55 ms,356 Mbps,45568 kB/s
34.82.76.253,443,35.230.34.223,US,Seattle,隧道,74 ms,325 Mbps,41676 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,90 ms,48 Mbps,6167 kB/s
192.9.236.144,443,192.9.236.144,US,San Jose,中转,64 ms,337 Mbps,43212 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,89 ms,244 Mbps,31232 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,75 ms,344 Mbps,44032 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,71 ms,284 Mbps,36454 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,88 ms,238 Mbps,30515 kB/s
141.144.200.134,443,2606:f240:f00:2be4:0:3123:621c:4abb,DE,Frankfurt,隧道,93 ms,215 Mbps,27545 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,94 ms,44 Mbps,5645 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,94 ms,262 Mbps,33587 kB/s
168.138.212.80,443,168.138.212.80,JP,Tokyo,中转,161 ms,34 Mbps,4458 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,172 ms,17 Mbps,2230 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,175 ms,39 Mbps,5044 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,159 ms,66 Mbps,8544 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,216 ms,34 Mbps,4398 kB/s
