中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.216.55.100,443,18.216.55.100,US,Columbus,中转,15 ms,552 Mbps,70656 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,23 ms,0 Mbps,47 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,71 ms,324 Mbps,41472 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,94 ms,199 Mbps,25497 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,96 ms,248 Mbps,31744 kB/s
35.230.79.26,443,35.212.232.22,US,Seattle,隧道,70 ms,323 Mbps,41369 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,75 ms,248 Mbps,31744 kB/s
34.82.76.253,443,34.83.144.186,US,Seattle,隧道,71 ms,318 Mbps,40755 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,93 ms,49 Mbps,6330 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,72 ms,342 Mbps,43827 kB/s
35.197.23.75,443,35.212.232.22,US,Seattle,隧道,69 ms,372 Mbps,47616 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,71 ms,252 Mbps,32256 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,83 ms,44 Mbps,5677 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,87 ms,44 Mbps,5718 kB/s
43.153.80.208,443,43.153.80.208,US,Los Angeles,中转,84 ms,372 Mbps,47718 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,92 ms,244 Mbps,31334 kB/s
193.123.38.223,443,2606:f240:f00:dd8d:0:3dd2:fadf:bc85,DE,Frankfurt,隧道,100 ms,268 Mbps,34304 kB/s
184.169.181.217,443,184.169.181.217,US,London,中转,72 ms,137 Mbps,17612 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,169 ms,128 Mbps,16384 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,98 ms,45 Mbps,5887 kB/s
129.146.7.98,443,129.146.7.98,US,Amsterdam,中转,53 ms,115 Mbps,14745 kB/s
168.138.212.80,443,168.138.212.80,JP,Tokyo,中转,167 ms,38 Mbps,4939 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,175 ms,36 Mbps,4711 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,176 ms,39 Mbps,5067 kB/s
64.110.101.125,443,64.110.101.125,JP,Osaka,中转,174 ms,108 Mbps,13824 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,231 ms,36 Mbps,4641 kB/s
131.186.17.132,443,131.186.17.132,KR,Tokyo,中转,198 ms,32 Mbps,4135 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,215 ms,34 Mbps,4422 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,225 ms,19 Mbps,2500 kB/s
8.219.1.169,443,8.219.1.169,SG,Singapore,中转,237 ms,10 Mbps,1350 kB/s
168.138.185.234,443,168.138.185.234,SG,Singapore,中转,245 ms,59 Mbps,7562 kB/s
158.180.89.154,443,2602:ffe4:407:20d9:0:400:b01e:bdf0,SG,Singapore,隧道,252 ms,44 Mbps,5759 kB/s
129.146.46.164,443,129.146.46.164,US,London,中转,314 ms,99 Mbps,12697 kB/s
47.57.13.107,443,8.212.22.44,HK,Hong Kong,隧道,232 ms,0 Mbps,36 kB/s
