中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,5 ms,7 Mbps,988 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,15 ms,840 Mbps,107520 kB/s
129.146.46.164,443,129.146.46.164,309 Mbps,39628 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,68 ms,337 Mbps,43212 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,65 ms,413 Mbps,52940 kB/s
34.82.76.253,443,35.230.34.223,US,Seattle,隧道,73 ms,348 Mbps,44646 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,90 ms,44 Mbps,5667 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,94 ms,228 Mbps,29184 kB/s
35.230.79.26,443,35.212.174.187,US,Seattle,隧道,70 ms,340 Mbps,43520 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,90 ms,230 Mbps,29491 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,95 ms,218 Mbps,27955 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,74 ms,294 Mbps,37683 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,100 ms,46 Mbps,5943 kB/s
35.197.23.75,443,35.212.174.187,US,Seattle,隧道,72 ms,408 Mbps,52326 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,97 ms,45 Mbps,5886 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,164 ms,136 Mbps,17408 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,164 ms,45 Mbps,5766 kB/s
150.230.7.216,443,150.230.7.216,JP,Osaka,中转,170 ms,45 Mbps,5806 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,175 ms,42 Mbps,5503 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,200 ms,36 Mbps,4696 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,224 ms,0 Mbps,72 kB/s
129.154.214.199,443,128.14.104.155,SG,Singapore,隧道,263 ms,43 Mbps,5536 kB/s
