中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.230.79.26,443,35.212.176.58,US,Seattle,隧道,38 ms,191 Mbps,24473 kB/s
34.82.76.253,443,34.169.66.96,US,Seattle,隧道,35 ms,476 Mbps,61030 kB/s
35.197.23.75,443,35.212.176.58,US,Seattle,隧道,38 ms,344 Mbps,44032 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,52 ms,318 Mbps,40755 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,26 ms,640 Mbps,81920 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,41 ms,448 Mbps,57446 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,51 ms,372 Mbps,47718 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,37 ms,648 Mbps,83046 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,27 ms,784 Mbps,100352 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,59 ms,7 Mbps,896 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,133 ms,148 Mbps,18944 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,125 ms,42 Mbps,5411 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,127 ms,179 Mbps,22937 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,122 ms,180 Mbps,23040 kB/s
64.110.101.125,443,64.110.101.125,JP,Osaka,中转,130 ms,172 Mbps,22118 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,131 ms,50 Mbps,6502 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,141 ms,47 Mbps,6036 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,130 ms,179 Mbps,22937 kB/s
143.47.176.251,443,2606:f240:f00:b2ed:0:ad70:1b03:d9b3,US,Munich,隧道,145 ms,156 Mbps,19968 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,184 ms,45 Mbps,5762 kB/s
8.219.1.169,443,8.219.1.169,SG,Singapore,中转,182 ms,30 Mbps,3965 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,200 ms,23 Mbps,3014 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,129 ms,40 Mbps,5210 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,128 ms,46 Mbps,5902 kB/s
