中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,19 ms,290 Mbps,37171 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,5 ms,440 Mbps,56422 kB/s
34.82.76.253,443,34.169.66.96,US,Seattle,隧道,43 ms,311 Mbps,39833 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,18 ms,1040 Mbps,133120 kB/s
35.230.79.26,443,35.212.167.189,US,Seattle,隧道,42 ms,529 Mbps,67788 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,55 ms,7 Mbps,897 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,19 ms,848 Mbps,108544 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,56 ms,395 Mbps,50585 kB/s
35.197.23.75,443,35.212.167.189,US,Seattle,隧道,39 ms,585 Mbps,74956 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,39 ms,570 Mbps,73011 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,119 ms,260 Mbps,33280 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,117 ms,43 Mbps,5601 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,121 ms,43 Mbps,5546 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,137 ms,171 Mbps,21913 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,143 ms,41 Mbps,5321 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,147 ms,161 Mbps,20684 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,147 ms,155 Mbps,19865 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,166 ms,47 Mbps,6116 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,195 ms,41 Mbps,5288 kB/s
8.219.1.169,443,8.219.1.169,SG,Singapore,中转,189 ms,19 Mbps,2541 kB/s
64.110.75.145,443,64.110.75.145,KR,Seoul,中转,159 ms,136 Mbps,17510 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,145 ms,2 Mbps,272 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,148 ms,43 Mbps,5600 kB/s
