中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
23.94.43.51,443,23.94.43.51,US,Seattle,中转,42 ms,526 Mbps,67379 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,29 ms,4 Mbps,534 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,60 ms,356 Mbps,45568 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,39 ms,548 Mbps,70246 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,55 ms,492 Mbps,62976 kB/s
35.197.23.75,443,35.212.174.187,US,Seattle,隧道,49 ms,476 Mbps,61030 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,37 ms,552 Mbps,70758 kB/s
192.9.236.144,443,192.9.236.144,US,San Jose,中转,41 ms,414 Mbps,53043 kB/s
34.82.76.253,443,35.230.34.223,US,Seattle,隧道,47 ms,505 Mbps,64716 kB/s
35.230.79.26,443,35.212.174.187,US,Seattle,隧道,51 ms,466 Mbps,59699 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,119 ms,153 Mbps,19660 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,126 ms,174 Mbps,22323 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,116 ms,157 Mbps,20172 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,111 ms,49 Mbps,6398 kB/s
150.230.7.216,443,150.230.7.216,JP,Osaka,中转,145 ms,48 Mbps,6218 kB/s
168.138.212.80,443,168.138.212.80,JP,Tokyo,中转,137 ms,47 Mbps,6031 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,143 ms,46 Mbps,5891 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,146 ms,47 Mbps,6018 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,145 ms,145 Mbps,18636 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,173 ms,12 Mbps,1583 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,126 ms,42 Mbps,5476 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,228 ms,33 Mbps,4351 kB/s
64.110.75.145,443,64.110.75.145,KR,Seoul,中转,168 ms,110 Mbps,14131 kB/s
