中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,28 ms,6 Mbps,838 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,27 ms,669 Mbps,85708 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,39 ms,534 Mbps,68403 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,40 ms,516 Mbps,66048 kB/s
35.197.23.75,443,35.212.172.135,US,Seattle,隧道,55 ms,512 Mbps,65638 kB/s
192.9.236.144,443,192.9.236.144,US,San Jose,中转,40 ms,315 Mbps,40345 kB/s
35.230.79.26,443,35.212.172.135,US,Seattle,隧道,50 ms,456 Mbps,58470 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,58 ms,372 Mbps,47718 kB/s
129.146.46.164,443,129.146.46.164,,colo.txt:Los Angeles,中转,0 ms,287 Mbps,36761 kB/s
34.82.76.253,443,35.230.34.223,US,Seattle,隧道,48 ms,447 Mbps,57241 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,123 ms,156 Mbps,19968 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,109 ms,52 Mbps,6671 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,123 ms,195 Mbps,24985 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,142 ms,45 Mbps,5816 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,149 ms,38 Mbps,4916 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,135 ms,166 Mbps,21299 kB/s
168.138.212.80,443,168.138.212.80,JP,Tokyo,中转,136 ms,46 Mbps,5912 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,117 ms,45 Mbps,5814 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,169 ms,43 Mbps,5561 kB/s
8.219.1.169,443,8.219.1.169,SG,Singapore,中转,212 ms,24 Mbps,3169 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,198 ms,25 Mbps,3242 kB/s
