中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,5 ms,7 Mbps,977 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,21 ms,638 Mbps,81715 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,68 ms,407 Mbps,52121 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,62 ms,314 Mbps,40243 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,53 ms,384 Mbps,49152 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,70 ms,285 Mbps,36556 kB/s
35.230.79.26,443,35.212.201.167,US,Seattle,隧道,68 ms,417 Mbps,53452 kB/s
192.9.236.144,443,192.9.236.144,US,San Jose,中转,59 ms,328 Mbps,41984 kB/s
35.197.23.75,443,35.212.201.167,US,Seattle,隧道,68 ms,422 Mbps,54067 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,69 ms,311 Mbps,39833 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,92 ms,37 Mbps,4827 kB/s
34.82.76.253,443,34.83.12.158,US,Seattle,隧道,72 ms,352 Mbps,45158 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,93 ms,240 Mbps,30822 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,100 ms,48 Mbps,6205 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,97 ms,292 Mbps,37376 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,97 ms,236 Mbps,30310 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,100 ms,44 Mbps,5743 kB/s
168.138.212.80,443,168.138.212.80,JP,Tokyo,中转,166 ms,39 Mbps,5117 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,161 ms,117 Mbps,15052 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,179 ms,40 Mbps,5244 kB/s
141.147.165.223,443,140.238.41.131,JP,Tokyo,隧道,164 ms,88 Mbps,11366 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,170 ms,36 Mbps,4731 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,203 ms,37 Mbps,4849 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,240 ms,33 Mbps,4329 kB/s
