中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.216.55.100,443,18.216.55.100,US,Columbus,中转,13 ms,808 Mbps,103424 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,19 ms,4 Mbps,597 kB/s
35.230.79.26,443,35.212.174.187,US,Seattle,隧道,69 ms,399 Mbps,51097 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,70 ms,304 Mbps,39014 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,71 ms,402 Mbps,51507 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,54 ms,387 Mbps,49561 kB/s
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,63 ms,390 Mbps,49971 kB/s
35.197.23.75,443,35.212.174.187,US,Seattle,隧道,86 ms,428 Mbps,54784 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,64 ms,324 Mbps,41574 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,94 ms,288 Mbps,36966 kB/s
34.82.76.253,443,35.230.34.223,US,Seattle,隧道,69 ms,405 Mbps,51916 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,95 ms,260 Mbps,33280 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,93 ms,268 Mbps,34406 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,74 ms,372 Mbps,47616 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,93 ms,50 Mbps,6501 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,101 ms,49 Mbps,6282 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,170 ms,126 Mbps,16179 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,169 ms,42 Mbps,5500 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,192 ms,42 Mbps,5466 kB/s
64.110.101.125,443,64.110.101.125,JP,Osaka,中转,173 ms,124 Mbps,15974 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,202 ms,31 Mbps,4093 kB/s
8.219.1.169,443,8.219.1.169,SG,Singapore,中转,229 ms,8 Mbps,1122 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,273 ms,3 Mbps,492 kB/s
168.138.185.234,443,168.138.185.234,SG,Singapore,中转,228 ms,54 Mbps,6930 kB/s
