中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
43.153.80.208,443,43.153.80.208,US,San Jose,中转,26 ms,960 Mbps,122880 kB/s
35.197.23.75,443,35.212.167.189,US,Seattle,隧道,34 ms,604 Mbps,77312 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,36 ms,563 Mbps,72089 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,47 ms,342 Mbps,43827 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,36 ms,684 Mbps,87654 kB/s
35.230.79.26,443,35.212.167.189,US,Seattle,隧道,44 ms,581 Mbps,74444 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,32 ms,523 Mbps,66969 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,25 ms,896 Mbps,114688 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,23 ms,816 Mbps,104448 kB/s
34.82.76.253,443,34.105.33.19,US,Seattle,隧道,34 ms,646 Mbps,82739 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,52 ms,6 Mbps,849 kB/s
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,42 ms,457 Mbps,58572 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,119 ms,202 Mbps,25907 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,137 ms,169 Mbps,21708 kB/s
150.230.7.216,443,150.230.7.216,JP,Osaka,中转,132 ms,44 Mbps,5659 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,131 ms,42 Mbps,5413 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,134 ms,141 Mbps,18124 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,127 ms,43 Mbps,5533 kB/s
158.101.130.149,443,158.101.129.206,JP,Tokyo,隧道,121 ms,153 Mbps,19660 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,135 ms,140 Mbps,17920 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,144 ms,40 Mbps,5166 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,163 ms,46 Mbps,6002 kB/s
8.219.1.169,443,8.219.1.169,SG,Singapore,中转,194 ms,25 Mbps,3258 kB/s
47.57.13.107,443,8.212.11.54,HK,Hong Kong,隧道,184 ms,10 Mbps,1381 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,217 ms,45 Mbps,5870 kB/s
168.138.185.234,443,168.138.185.234,SG,Singapore,中转,200 ms,85 Mbps,10956 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,137 ms,40 Mbps,5126 kB/s
158.101.201.244,443,2606:f240:f00:eaf1:0:9e7b:229b:5774,US,Salt Lake City,隧道,153 ms,124 Mbps,15974 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,127 ms,41 Mbps,5332 kB/s
