中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,33 ms,365 Mbps,46796 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,27 ms,472 Mbps,60416 kB/s
35.230.79.26,443,35.212.167.189,US,Seattle,隧道,23 ms,960 Mbps,122880 kB/s
184.169.181.217,443,184.169.181.217,US,Los Angeles,中转,4 ms,1496 Mbps,191488 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,1 ms,840 Mbps,107520 kB/s
35.197.23.75,443,35.212.167.189,US,Seattle,隧道,21 ms,952 Mbps,121856 kB/s
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,26 ms,455 Mbps,58265 kB/s
34.82.76.253,443,34.105.33.19,US,Seattle,隧道,21 ms,976 Mbps,124928 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,58 ms,336 Mbps,43110 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,111 ms,47 Mbps,6086 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,109 ms,0 Mbps,103 kB/s
168.138.212.80,443,168.138.212.80,JP,Tokyo,中转,105 ms,48 Mbps,6258 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,116 ms,48 Mbps,6151 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,161 ms,45 Mbps,5837 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,170 ms,124 Mbps,15872 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,142 ms,45 Mbps,5786 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,168 ms,146 Mbps,18739 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,162 ms,117 Mbps,15052 kB/s
47.57.13.107,443,8.212.22.216,HK,Hong Kong,隧道,168 ms,11 Mbps,1456 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,171 ms,44 Mbps,5669 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,137 ms,25 Mbps,3212 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,173 ms,42 Mbps,5400 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,122 ms,0 Mbps,105 kB/s
