中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.216.55.100,443,18.216.55.100,US,Columbus,中转,19 ms,785 Mbps,100556 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,42 ms,420 Mbps,53760 kB/s
35.230.79.26,443,35.212.227.159,US,Seattle,隧道,51 ms,286 Mbps,36659 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,25 ms,47 Mbps,6088 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,51 ms,380 Mbps,48742 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,58 ms,398 Mbps,50995 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,49 ms,547 Mbps,70041 kB/s
35.197.23.75,443,35.212.227.159,US,Seattle,隧道,48 ms,548 Mbps,70144 kB/s
34.82.76.253,443,34.169.31.209,US,Seattle,隧道,53 ms,493 Mbps,63180 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,40 ms,486 Mbps,62259 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,64 ms,250 Mbps,32051 kB/s
158.101.221.74,443,2606:f240:f00:2be4:0:8d07:7f7b:5c09,DE,Frankfurt,隧道,128 ms,126 Mbps,16179 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,138 ms,145 Mbps,18636 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,130 ms,41 Mbps,5319 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,123 ms,222 Mbps,28467 kB/s
168.138.212.80,443,168.138.212.80,JP,Osaka,中转,138 ms,36 Mbps,4629 kB/s
143.47.190.37,443,2606:f240:f00:2be4:0:2a34:1061:8f16,DE,Frankfurt,隧道,121 ms,156 Mbps,20070 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,131 ms,47 Mbps,6090 kB/s
64.110.101.125,443,64.110.101.125,JP,Osaka,中转,139 ms,180 Mbps,23040 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,122 ms,45 Mbps,5809 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,139 ms,47 Mbps,6118 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,144 ms,6 Mbps,895 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,192 ms,39 Mbps,5099 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,178 ms,39 Mbps,5082 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,192 ms,31 Mbps,4071 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,210 ms,28 Mbps,3604 kB/s
64.110.75.145,443,64.110.75.145,KR,Seoul,中转,192 ms,109 Mbps,14028 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,244 ms,0 Mbps,15 kB/s
47.57.13.107,443,8.212.22.216,HK,Hong Kong,隧道,182 ms,0 Mbps,2 kB/s
