中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,15 ms,5 Mbps,699 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,24 ms,718 Mbps,91955 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,58 ms,327 Mbps,41881 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,67 ms,336 Mbps,43110 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,74 ms,307 Mbps,39321 kB/s
35.197.23.75,443,35.212.236.25,US,Seattle,隧道,69 ms,399 Mbps,51097 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,90 ms,256 Mbps,32870 kB/s
35.230.79.26,443,35.212.236.25,US,Seattle,隧道,69 ms,416 Mbps,53350 kB/s
34.82.76.253,443,34.169.66.96,US,Seattle,隧道,70 ms,362 Mbps,46387 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,68 ms,362 Mbps,46387 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,95 ms,308 Mbps,39526 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,95 ms,216 Mbps,27750 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,91 ms,45 Mbps,5869 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,94 ms,43 Mbps,5613 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,168 ms,111 Mbps,14233 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,173 ms,38 Mbps,4938 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,167 ms,44 Mbps,5694 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,195 ms,35 Mbps,4556 kB/s
47.57.13.107,443,8.212.23.141,HK,Hong Kong,隧道,230 ms,10 Mbps,1359 kB/s
8.219.1.169,443,8.219.1.169,SG,Singapore,中转,233 ms,4 Mbps,551 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,250 ms,40 Mbps,5238 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,213 ms,36 Mbps,4721 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,99 ms,46 Mbps,6008 kB/s
