中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,5 ms,6 Mbps,888 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,32 ms,564 Mbps,72294 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,68 ms,353 Mbps,45260 kB/s
35.230.79.26,443,35.212.184.110,US,Seattle,隧道,70 ms,317 Mbps,40652 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,60 ms,411 Mbps,52633 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,54 ms,393 Mbps,50380 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,71 ms,378 Mbps,48435 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,69 ms,340 Mbps,43622 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,67 ms,365 Mbps,46796 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,94 ms,243 Mbps,31129 kB/s
34.82.76.253,443,34.105.33.19,US,Seattle,隧道,70 ms,392 Mbps,50176 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,75 ms,244 Mbps,31232 kB/s
35.197.23.75,443,35.212.184.110,US,Seattle,隧道,69 ms,380 Mbps,48640 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,96 ms,239 Mbps,30617 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,89 ms,45 Mbps,5859 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,94 ms,280 Mbps,35942 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,91 ms,44 Mbps,5718 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,169 ms,120 Mbps,15360 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,167 ms,40 Mbps,5192 kB/s
150.230.7.216,443,150.230.7.216,JP,Osaka,中转,173 ms,39 Mbps,5030 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,169 ms,38 Mbps,4899 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,204 ms,36 Mbps,4712 kB/s
152.70.53.38,443,2606:f240:f00:83a7:0:926:46c0:5d00,US,Salt Lake City,隧道,93 ms,120 Mbps,15462 kB/s
47.57.13.107,443,8.212.22.216,HK,Hong Kong,隧道,223 ms,11 Mbps,1463 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,238 ms,41 Mbps,5374 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,211 ms,36 Mbps,4670 kB/s
