中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.216.55.100,443,18.216.55.100,US,Columbus,中转,9 ms,688 Mbps,88064 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,16 ms,6 Mbps,895 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,65 ms,279 Mbps,35737 kB/s
34.82.76.253,443,34.105.33.19,US,Seattle,隧道,48 ms,388 Mbps,49664 kB/s
35.197.23.75,443,35.212.167.189,US,Seattle,隧道,54 ms,224 Mbps,28672 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,50 ms,379 Mbps,48537 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,51 ms,348 Mbps,44646 kB/s
35.230.79.26,443,35.212.167.189,US,Seattle,隧道,50 ms,457 Mbps,58572 kB/s
184.169.181.217,443,184.169.181.217,US,Los Angeles,中转,76 ms,413 Mbps,52940 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,124 ms,162 Mbps,20787 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,104 ms,193 Mbps,24780 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,99 ms,41 Mbps,5316 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,106 ms,39 Mbps,5084 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,112 ms,165 Mbps,21196 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,147 ms,153 Mbps,19660 kB/s
168.138.212.80,443,168.138.212.80,JP,Osaka,中转,158 ms,34 Mbps,4381 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,158 ms,37 Mbps,4775 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,158 ms,45 Mbps,5791 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,199 ms,37 Mbps,4849 kB/s
47.57.13.107,443,8.212.23.141,HK,Hong Kong,隧道,209 ms,12 Mbps,1589 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,215 ms,39 Mbps,5025 kB/s
