中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,6 ms,6 Mbps,886 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,26 ms,741 Mbps,94924 kB/s
192.9.236.144,443,192.9.236.144,US,San Jose,中转,63 ms,313 Mbps,40140 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,73 ms,151 Mbps,19353 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,63 ms,351 Mbps,44953 kB/s
35.230.79.26,443,35.212.241.9,US,Seattle,隧道,71 ms,360 Mbps,46080 kB/s
35.197.23.75,443,35.212.241.9,US,Seattle,隧道,71 ms,342 Mbps,43827 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,90 ms,49 Mbps,6346 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,89 ms,315 Mbps,40345 kB/s
34.82.76.253,443,34.168.69.6,US,Seattle,隧道,73 ms,422 Mbps,54067 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,99 ms,236 Mbps,30310 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,95 ms,48 Mbps,6147 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,173 ms,120 Mbps,15360 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,177 ms,41 Mbps,5315 kB/s
150.230.7.216,443,150.230.7.216,JP,Osaka,中转,166 ms,40 Mbps,5214 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,173 ms,38 Mbps,4925 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,200 ms,41 Mbps,5369 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,246 ms,33 Mbps,4226 kB/s
