中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.216.55.100,443,18.216.55.100,US,Columbus,中转,29 ms,448 Mbps,57344 kB/s
35.230.79.26,443,35.212.227.159,US,Seattle,隧道,48 ms,448 Mbps,57344 kB/s
35.197.23.75,443,35.212.227.159,US,Seattle,隧道,49 ms,480 Mbps,61440 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,53 ms,530 Mbps,67891 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,38 ms,550 Mbps,70451 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,45 ms,1 Mbps,225 kB/s
34.82.76.253,443,34.169.31.209,US,Seattle,隧道,48 ms,493 Mbps,63180 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,62 ms,394 Mbps,50483 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,66 ms,261 Mbps,33484 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,117 ms,150 Mbps,19251 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,139 ms,149 Mbps,19148 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,140 ms,37 Mbps,4761 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,136 ms,137 Mbps,17612 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,117 ms,48 Mbps,6200 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,120 ms,43 Mbps,5546 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,126 ms,49 Mbps,6374 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,140 ms,46 Mbps,5930 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,172 ms,42 Mbps,5402 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,188 ms,35 Mbps,4515 kB/s
47.57.13.107,443,8.212.22.216,HK,Hong Kong,隧道,186 ms,10 Mbps,1390 kB/s
8.219.134.131,443,47.245.114.12,SG,Singapore,隧道,199 ms,77 Mbps,9932 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,197 ms,40 Mbps,5157 kB/s
146.56.146.67,443,2602:ffe4:407:20d9:0:8e36:216c:32aa,SG,Singapore,隧道,251 ms,49 Mbps,6365 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,172 ms,38 Mbps,4892 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,205 ms,23 Mbps,2946 kB/s
