中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
192.9.139.160,443,192.9.139.160,US,San Jose,中转,2 ms,896 Mbps,114688 kB/s
34.82.76.253,443,34.169.31.209,US,Seattle,隧道,22 ms,968 Mbps,123904 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,12 ms,565 Mbps,72396 kB/s
35.197.23.75,443,35.212.212.40,US,Seattle,隧道,31 ms,976 Mbps,124928 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,15 ms,1488 Mbps,190464 kB/s
184.169.181.217,443,184.169.181.217,US,Portland,中转,7 ms,740 Mbps,94822 kB/s
35.230.79.26,443,35.212.212.40,US,Seattle,隧道,33 ms,555 Mbps,71065 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,27 ms,652 Mbps,83456 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,8 ms,1496 Mbps,191488 kB/s
129.146.46.164,443,129.146.46.164,US,Phoenix,中转,41 ms,313 Mbps,40140 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,73 ms,279 Mbps,35737 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,71 ms,15 Mbps,1960 kB/s
129.213.202.222,443,129.213.202.222,US,Ashburn,中转,84 ms,283 Mbps,36249 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,106 ms,194 Mbps,24883 kB/s
129.213.130.70,443,129.213.130.70,US,Ashburn,中转,74 ms,191 Mbps,24473 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,119 ms,41 Mbps,5371 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,113 ms,37 Mbps,4743 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,135 ms,35 Mbps,4539 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,148 ms,48 Mbps,6195 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,152 ms,47 Mbps,6023 kB/s
141.144.253.109,443,141.144.253.109,DE,Frankfurt,中转,167 ms,40 Mbps,5139 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,163 ms,46 Mbps,6010 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,175 ms,122 Mbps,15667 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,159 ms,46 Mbps,5932 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,173 ms,148 Mbps,18944 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,180 ms,44 Mbps,5645 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,137 ms,39 Mbps,5011 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,169 ms,39 Mbps,5067 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,169 ms,0 Mbps,80 kB/s
