中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.216.55.100,443,18.216.55.100,US,Columbus,中转,11 ms,747 Mbps,95641 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,15 ms,7 Mbps,920 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,61 ms,285 Mbps,36556 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,48 ms,406 Mbps,52019 kB/s
35.230.79.26,443,35.212.176.58,US,Seattle,隧道,52 ms,500 Mbps,64000 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,48 ms,446 Mbps,57139 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,59 ms,476 Mbps,61030 kB/s
34.82.76.253,443,34.169.66.96,US,Seattle,隧道,52 ms,330 Mbps,42291 kB/s
35.197.23.75,443,35.212.176.58,US,Seattle,隧道,53 ms,372 Mbps,47718 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,108 ms,182 Mbps,23347 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,114 ms,157 Mbps,20172 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,120 ms,225 Mbps,28876 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,116 ms,44 Mbps,5651 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,145 ms,126 Mbps,16179 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,157 ms,48 Mbps,6248 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,61 ms,397 Mbps,50892 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,162 ms,43 Mbps,5630 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,115 ms,45 Mbps,5805 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,180 ms,45 Mbps,5859 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,227 ms,30 Mbps,3912 kB/s
