中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
184.169.181.217,443,184.169.181.217,US,San Jose,中转,3 ms,1400 Mbps,179200 kB/s
129.146.46.164,443,129.146.46.164,US,288 Mbps,36966 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,3 ms,880 Mbps,112640 kB/s
35.197.23.75,443,35.212.184.110,US,Seattle,隧道,24 ms,888 Mbps,113664 kB/s
34.82.76.253,443,34.105.33.19,US,Seattle,隧道,21 ms,872 Mbps,111616 kB/s
35.230.79.26,443,35.212.184.110,US,Seattle,隧道,26 ms,872 Mbps,111616 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,20 ms,684 Mbps,87654 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,62 ms,5 Mbps,741 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,67 ms,397 Mbps,50892 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,111 ms,212 Mbps,27136 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,112 ms,48 Mbps,6270 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,112 ms,48 Mbps,6260 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,138 ms,44 Mbps,5755 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,157 ms,124 Mbps,15974 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,150 ms,43 Mbps,5507 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,160 ms,36 Mbps,4627 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,159 ms,116 Mbps,14848 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,164 ms,136 Mbps,17510 kB/s
47.57.13.107,443,8.212.11.54,HK,Hong Kong,隧道,164 ms,14 Mbps,1823 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,169 ms,36 Mbps,4680 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,137 ms,44 Mbps,5756 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,161 ms,38 Mbps,4953 kB/s
