中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,3 ms,8 Mbps,1057 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,2 ms,92 Mbps,11878 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,19 ms,500 Mbps,64102 kB/s
35.197.23.75,443,35.212.186.181,US,Seattle,隧道,65 ms,399 Mbps,51097 kB/s
35.230.79.26,443,35.212.186.181,US,Seattle,隧道,63 ms,400 Mbps,51200 kB/s
129.146.46.164,443,129.146.46.164,316 Mbps,40448 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,68 ms,280 Mbps,35840 kB/s
34.82.76.253,443,34.105.52.138,US,Seattle,隧道,63 ms,395 Mbps,50585 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,72 ms,287 Mbps,36761 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,99 ms,246 Mbps,31539 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,96 ms,206 Mbps,26419 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,69 ms,376 Mbps,48128 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,71 ms,268 Mbps,34304 kB/s
141.148.224.123,443,141.148.224.123,NL,Amsterdam,中转,98 ms,228 Mbps,29184 kB/s
143.47.178.5,443,143.47.178.5,NL,Amsterdam,中转,89 ms,239 Mbps,30617 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,100 ms,248 Mbps,31846 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,95 ms,49 Mbps,6377 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,105 ms,48 Mbps,6154 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,95 ms,50 Mbps,6403 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,169 ms,38 Mbps,4952 kB/s
150.230.7.216,443,150.230.7.216,JP,Osaka,中转,172 ms,43 Mbps,5535 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,173 ms,41 Mbps,5258 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,181 ms,114 Mbps,14643 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,229 ms,27 Mbps,3520 kB/s
47.57.13.107,443,8.212.11.54,HK,Hong Kong,隧道,215 ms,10 Mbps,1336 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,215 ms,33 Mbps,4300 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,208 ms,43 Mbps,5550 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,245 ms,0 Mbps,93 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,211 ms,7 Mbps,1012 kB/s
168.138.185.234,443,168.138.185.234,SG,Frankfurt,中转,248 ms,1 Mbps,246 kB/s
158.180.73.138,443,2602:ffe4:407:20da:0:2350:138c:ead,SG,Frankfurt,隧道,244 ms,25 Mbps,3250 kB/s
