中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.216.55.100,443,18.216.55.100,US,Columbus,中转,24 ms,661 Mbps,84684 kB/s
35.230.79.26,443,35.212.232.22,US,Seattle,隧道,68 ms,320 Mbps,41062 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,91 ms,248 Mbps,31846 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,72 ms,294 Mbps,37683 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,68 ms,262 Mbps,33587 kB/s
35.197.23.75,443,35.212.232.22,US,Seattle,隧道,70 ms,365 Mbps,46796 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,83 ms,366 Mbps,46899 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,73 ms,367 Mbps,47001 kB/s
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,57 ms,393 Mbps,50380 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,93 ms,285 Mbps,36556 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,103 ms,40 Mbps,5148 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,100 ms,225 Mbps,28876 kB/s
143.47.185.70,443,2606:f240:f00:46c4:0:37bf:18b:e8c8,DE,Frankfurt,隧道,93 ms,118 Mbps,15155 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,92 ms,46 Mbps,5985 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,97 ms,47 Mbps,6104 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,163 ms,120 Mbps,15360 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,81 ms,0 Mbps,99 kB/s
168.138.46.67,443,168.138.46.67,JP,Tokyo,中转,200 ms,36 Mbps,4692 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,236 ms,32 Mbps,4218 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,207 ms,9 Mbps,1277 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,216 ms,34 Mbps,4430 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,230 ms,16 Mbps,2055 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,239 ms,28 Mbps,3693 kB/s
47.57.13.107,443,8.212.11.54,HK,Hong Kong,隧道,215 ms,9 Mbps,1234 kB/s
8.219.1.169,443,8.219.1.169,SG,Singapore,中转,230 ms,16 Mbps,2155 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,200 ms,35 Mbps,4510 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,111 ms,64 Mbps,8227 kB/s
