中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,1 ms,5 Mbps,709 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,13 ms,660 Mbps,84480 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,63 ms,305 Mbps,39116 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,54 ms,351 Mbps,44953 kB/s
35.197.23.75,443,35.212.212.2,US,Seattle,隧道,70 ms,342 Mbps,43827 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,74 ms,211 Mbps,27033 kB/s
184.169.181.217,443,184.169.181.217,US,Los Angeles,中转,63 ms,412 Mbps,52838 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,83 ms,44 Mbps,5743 kB/s
35.230.79.26,443,35.212.212.2,US,Seattle,隧道,74 ms,231 Mbps,29593 kB/s
34.82.76.253,443,34.105.33.19,US,Seattle,隧道,71 ms,285 Mbps,36556 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,71 ms,283 Mbps,36249 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,99 ms,297 Mbps,38092 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,99 ms,244 Mbps,31334 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,112 ms,256 Mbps,32768 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,161 ms,35 Mbps,4602 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,98 ms,46 Mbps,5929 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,171 ms,42 Mbps,5441 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,159 ms,130 Mbps,16691 kB/s
64.110.101.125,443,64.110.101.125,JP,Osaka,中转,171 ms,140 Mbps,17920 kB/s
168.138.212.80,443,168.138.212.80,JP,Osaka,中转,161 ms,41 Mbps,5353 kB/s
47.57.13.107,443,8.212.22.44,HK,Hong Kong,隧道,219 ms,10 Mbps,1327 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,220 ms,31 Mbps,4092 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,247 ms,35 Mbps,4557 kB/s
158.180.73.138,443,2602:ffe4:407:20da:0:2350:138c:ead,SG,Singapore,隧道,256 ms,32 Mbps,4114 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,196 ms,29 Mbps,3734 kB/s
