中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
192.9.139.160,443,192.9.139.160,US,San Jose,中转,2 ms,864 Mbps,110592 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,1 ms,1288 Mbps,164864 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,19 ms,445 Mbps,57036 kB/s
35.197.23.75,443,35.212.236.25,US,Seattle,隧道,23 ms,976 Mbps,124928 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,22 ms,675 Mbps,86425 kB/s
35.230.79.26,443,35.212.236.25,US,Seattle,隧道,21 ms,796 Mbps,101990 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,73 ms,6 Mbps,806 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,68 ms,328 Mbps,42086 kB/s
34.82.76.253,443,34.169.66.96,US,Seattle,隧道,22 ms,992 Mbps,126976 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,108 ms,216 Mbps,27750 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,112 ms,41 Mbps,5308 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,125 ms,50 Mbps,6406 kB/s
64.110.101.125,443,64.110.101.125,JP,Osaka,中转,113 ms,243 Mbps,31129 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,133 ms,48 Mbps,6257 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,160 ms,123 Mbps,15769 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,160 ms,124 Mbps,15872 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,174 ms,153 Mbps,19660 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,165 ms,46 Mbps,5912 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,179 ms,38 Mbps,4988 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,136 ms,35 Mbps,4597 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,160 ms,41 Mbps,5347 kB/s
