中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,1 ms,8 Mbps,1081 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,21 ms,672 Mbps,86016 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,70 ms,433 Mbps,55500 kB/s
35.230.79.26,443,35.212.184.110,US,Seattle,隧道,69 ms,332 Mbps,42496 kB/s
34.82.76.253,443,34.105.33.19,US,Seattle,隧道,70 ms,260 Mbps,33280 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,69 ms,292 Mbps,37478 kB/s
184.169.181.217,443,184.169.181.217,US,Los Angeles,中转,68 ms,349 Mbps,44748 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,68 ms,284 Mbps,36352 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,90 ms,227 Mbps,29081 kB/s
35.197.23.75,443,35.212.184.110,US,Seattle,隧道,69 ms,340 Mbps,43520 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,94 ms,280 Mbps,35840 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,84 ms,45 Mbps,5835 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,88 ms,45 Mbps,5850 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,94 ms,214 Mbps,27443 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,99 ms,42 Mbps,5448 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,160 ms,113 Mbps,14540 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,183 ms,38 Mbps,4945 kB/s
168.138.212.80,443,168.138.212.80,JP,Tokyo,中转,159 ms,35 Mbps,4519 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,178 ms,43 Mbps,5510 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,191 ms,44 Mbps,5716 kB/s
8.219.1.169,443,8.219.1.169,SG,Singapore,中转,225 ms,29 Mbps,3770 kB/s
47.57.13.107,443,8.212.22.216,HK,Hong Kong,隧道,218 ms,10 Mbps,1350 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,244 ms,41 Mbps,5368 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,73 ms,182 Mbps,23347 kB/s
