中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,26 ms,2 Mbps,383 kB/s
34.82.76.253,443,35.230.34.223,US,Seattle,隧道,48 ms,520 Mbps,66560 kB/s
35.230.79.26,443,35.212.174.187,US,Seattle,隧道,48 ms,540 Mbps,69222 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,50 ms,418 Mbps,53555 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,35 ms,580 Mbps,74240 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,40 ms,543 Mbps,69529 kB/s
35.197.23.75,443,35.212.174.187,US,Seattle,隧道,53 ms,485 Mbps,62156 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,54 ms,536 Mbps,68710 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,122 ms,179 Mbps,22937 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,112 ms,49 Mbps,6316 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,124 ms,172 Mbps,22016 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,120 ms,219 Mbps,28057 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,136 ms,168 Mbps,21606 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,153 ms,44 Mbps,5685 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,143 ms,44 Mbps,5751 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,173 ms,40 Mbps,5216 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,118 ms,43 Mbps,5589 kB/s
129.154.214.199,443,128.14.104.155,SG,Singapore,隧道,251 ms,54 Mbps,7028 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,254 ms,11 Mbps,1430 kB/s
