中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,6 ms,8 Mbps,1074 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,19 ms,684 Mbps,87654 kB/s
34.82.76.253,443,34.83.12.158,US,Seattle,隧道,73 ms,202 Mbps,25907 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,87 ms,46 Mbps,5950 kB/s
35.230.79.26,443,35.212.130.240,US,Seattle,隧道,62 ms,389 Mbps,49868 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,75 ms,420 Mbps,53862 kB/s
192.9.236.144,443,192.9.236.144,US,San Jose,中转,64 ms,310 Mbps,39731 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,94 ms,278 Mbps,35635 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,97 ms,224 Mbps,28774 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,70 ms,317 Mbps,40652 kB/s
35.197.23.75,443,35.212.130.240,US,Seattle,隧道,63 ms,352 Mbps,45158 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,98 ms,221 Mbps,28364 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,86 ms,45 Mbps,5865 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,78 ms,235 Mbps,30105 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,201 ms,34 Mbps,4403 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,98 ms,47 Mbps,6108 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,164 ms,132 Mbps,16896 kB/s
146.56.131.153,443,132.226.239.169,KR,Seoul,隧道,199 ms,88 Mbps,11264 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,171 ms,43 Mbps,5582 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,180 ms,34 Mbps,4405 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,283 ms,2 Mbps,365 kB/s
