中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,16 ms,33 Mbps,4301 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,19 ms,746 Mbps,95539 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,48 ms,323 Mbps,41369 kB/s
35.197.23.75,443,35.212.212.40,US,Seattle,隧道,48 ms,526 Mbps,67379 kB/s
35.230.79.26,443,35.212.212.40,US,Seattle,隧道,52 ms,508 Mbps,65024 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,51 ms,448 Mbps,57344 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,49 ms,401 Mbps,51404 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,49 ms,415 Mbps,53145 kB/s
184.169.181.217,443,184.169.181.217,US,Los Angeles,中转,61 ms,446 Mbps,57139 kB/s
143.47.176.251,443,2606:f240:f00:2be4:0:5ea3:a782:cab4,DE,Frankfurt,隧道,107 ms,212 Mbps,27136 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,104 ms,6 Mbps,894 kB/s
158.101.217.62,443,2606:f240:f00:a683:0:e8da:844a:de5,DE,Frankfurt,隧道,109 ms,168 Mbps,21606 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,111 ms,215 Mbps,27545 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,119 ms,45 Mbps,5769 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,162 ms,33 Mbps,4277 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,144 ms,128 Mbps,16486 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,155 ms,28 Mbps,3604 kB/s
64.110.101.125,443,64.110.101.125,JP,Osaka,中转,149 ms,142 Mbps,18227 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,112 ms,40 Mbps,5172 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,193 ms,39 Mbps,5095 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,210 ms,38 Mbps,4905 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,205 ms,39 Mbps,5060 kB/s
8.219.170.223,443,8.219.69.217,SG,Singapore,隧道,224 ms,65 Mbps,8335 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,148 ms,0 Mbps,36 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,218 ms,8 Mbps,1032 kB/s
47.57.13.107,443,8.212.11.54,HK,Hong Kong,隧道,202 ms,0 Mbps,3 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,186 ms,26 Mbps,3357 kB/s
