中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.159.84.71,443,129.159.84.71,US,Newark,中转,19 ms,7 Mbps,963 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,13 ms,750 Mbps,96051 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,68 ms,428 Mbps,54886 kB/s
35.230.79.26,443,35.212.173.121,US,Seattle,隧道,52 ms,540 Mbps,69222 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,46 ms,450 Mbps,57651 kB/s
129.146.46.164,443,129.146.46.164,,colo.txt:Los Angeles,中转,0 ms,297 Mbps,38092 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,54 ms,443 Mbps,56729 kB/s
35.197.23.75,443,35.212.173.121,US,Seattle,隧道,51 ms,569 Mbps,72908 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,112 ms,176 Mbps,22528 kB/s
34.82.76.253,443,34.83.12.158,US,Seattle,隧道,48 ms,501 Mbps,64204 kB/s
192.9.236.144,443,192.9.236.144,US,San Jose,中转,51 ms,348 Mbps,44544 kB/s
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,55 ms,420 Mbps,53760 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,103 ms,48 Mbps,6220 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,151 ms,146 Mbps,18739 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,117 ms,240 Mbps,30720 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,118 ms,192 Mbps,24678 kB/s
64.110.101.125,443,64.110.101.125,JP,Osaka,中转,155 ms,157 Mbps,20172 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,161 ms,36 Mbps,4695 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,153 ms,40 Mbps,5123 kB/s
150.230.7.216,443,150.230.7.216,JP,Osaka,中转,151 ms,43 Mbps,5517 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,115 ms,45 Mbps,5829 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,194 ms,40 Mbps,5173 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,213 ms,10 Mbps,1331 kB/s
168.138.185.234,443,168.138.185.234,SG,Singapore,中转,225 ms,69 Mbps,8843 kB/s
8.219.139.93,443,47.245.84.175,SG,Singapore,隧道,216 ms,10 Mbps,1320 kB/s
