中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.216.55.100,443,18.216.55.100,US,Columbus,中转,16 ms,448 Mbps,57446 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,13 ms,2 Mbps,314 kB/s
35.197.23.75,443,35.212.232.22,US,Seattle,隧道,70 ms,401 Mbps,51404 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,55 ms,396 Mbps,50790 kB/s
35.230.79.26,443,35.212.232.22,US,Seattle,隧道,69 ms,385 Mbps,49356 kB/s
34.82.76.253,443,34.83.144.186,US,Seattle,隧道,72 ms,398 Mbps,50995 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,66 ms,417 Mbps,53452 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,92 ms,261 Mbps,33484 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,97 ms,235 Mbps,30105 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,92 ms,48 Mbps,6232 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,65 ms,364 Mbps,46694 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,75 ms,267 Mbps,34201 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,86 ms,44 Mbps,5703 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,77 ms,269 Mbps,34508 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,98 ms,213 Mbps,27340 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,92 ms,41 Mbps,5311 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,164 ms,113 Mbps,14540 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,168 ms,38 Mbps,4958 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,169 ms,35 Mbps,4596 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,206 ms,33 Mbps,4271 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,209 ms,40 Mbps,5216 kB/s
47.57.13.107,443,8.212.23.141,HK,Hong Kong,隧道,223 ms,11 Mbps,1450 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,227 ms,38 Mbps,4937 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,231 ms,32 Mbps,4196 kB/s
64.110.75.145,443,64.110.75.145,KR,Seoul,中转,200 ms,67 Mbps,8646 kB/s
