中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.216.55.100,443,18.216.55.100,US,Columbus,中转,10 ms,740 Mbps,94720 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,19 ms,6 Mbps,868 kB/s
35.197.23.75,443,35.212.241.9,US,Seattle,隧道,48 ms,563 Mbps,72089 kB/s
34.82.76.253,443,34.168.69.6,US,Seattle,隧道,48 ms,524 Mbps,67174 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,48 ms,432 Mbps,55398 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,63 ms,302 Mbps,38707 kB/s
192.9.236.144,443,192.9.236.144,US,San Jose,中转,54 ms,309 Mbps,39628 kB/s
35.230.79.26,443,35.212.241.9,US,Seattle,隧道,61 ms,431 Mbps,55193 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,115 ms,209 Mbps,26828 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,106 ms,51 Mbps,6646 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,154 ms,155 Mbps,19865 kB/s
150.230.63.93,443,150.230.63.93,JP,Osaka,中转,157 ms,46 Mbps,5937 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,114 ms,238 Mbps,30515 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,112 ms,208 Mbps,26726 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,108 ms,45 Mbps,5835 kB/s
168.138.212.80,443,168.138.212.80,JP,Tokyo,中转,142 ms,43 Mbps,5596 kB/s
150.230.7.216,443,150.230.7.216,JP,Osaka,中转,161 ms,46 Mbps,5912 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,154 ms,43 Mbps,5521 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,160 ms,44 Mbps,5684 kB/s
64.110.101.125,443,64.110.101.125,JP,Osaka,中转,155 ms,146 Mbps,18739 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,201 ms,35 Mbps,4606 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,241 ms,36 Mbps,4658 kB/s
