中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,15 ms,272 Mbps,34918 kB/s
34.82.76.253,443,34.83.144.186,US,Seattle,隧道,42 ms,597 Mbps,76492 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,38 ms,502 Mbps,64307 kB/s
35.230.79.26,443,35.212.226.106,US,Seattle,隧道,52 ms,516 Mbps,66048 kB/s
184.169.181.217,443,184.169.181.217,US,Ashburn,中转,19 ms,331 Mbps,42393 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,59 ms,44 Mbps,5737 kB/s
35.197.23.75,443,35.212.226.106,US,Seattle,隧道,37 ms,545 Mbps,69836 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,19 ms,856 Mbps,109568 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,56 ms,389 Mbps,49868 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,32 ms,1056 Mbps,135168 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,21 ms,936 Mbps,119808 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,109 ms,183 Mbps,23449 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,142 ms,130 Mbps,16691 kB/s
150.230.63.93,443,150.230.63.93,JP,Osaka,中转,128 ms,49 Mbps,6273 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,117 ms,51 Mbps,6570 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,134 ms,163 Mbps,20889 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,129 ms,49 Mbps,6347 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,152 ms,47 Mbps,6059 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,153 ms,148 Mbps,19046 kB/s
158.178.154.78,443,2606:f240:f00:a683:0:5161:c7fc:8919,DE,Frankfurt,隧道,151 ms,121 Mbps,15564 kB/s
193.123.38.223,443,2606:f240:f00:eaf1:0:48b2:c397:9149,DE,Frankfurt,隧道,142 ms,152 Mbps,19558 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,131 ms,46 Mbps,5902 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,144 ms,46 Mbps,5923 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,162 ms,38 Mbps,4917 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,165 ms,43 Mbps,5604 kB/s
168.138.185.234,443,168.138.185.234,SG,Singapore,中转,206 ms,89 Mbps,11468 kB/s
8.219.1.169,443,8.219.1.169,SG,Singapore,中转,203 ms,28 Mbps,3593 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,191 ms,37 Mbps,4796 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,140 ms,40 Mbps,5166 kB/s
47.57.13.107,443,8.212.22.44,HK,Hong Kong,隧道,226 ms,0 Mbps,38 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,159 ms,0 Mbps,46 kB/s
